Sentences,Type
*[Sees a sleepy cat in a blanket]* 'Big mood.',slang
"She brought snacks, meds, and tissues—total mom friend behavior.",slang
"He started talking nonsense, so I mentally muted him.",slang
We’ve never met but we’re mutuals on TikTok.,slang
He got the role through his dad’s connections—classic nepo baby.,slang
"Ngl, that outfit is kinda fire.",slang
"That was the best concert I’ve ever been to, no cap.",slang
She roasted him in the group chat with no chill.,slang
He ate that performance and left no crumbs.,slang
"That exam was brutal, no lie.",slang
"Me after finishing finals: no thoughts, head empty.",slang
His outfit was just jeans and a plain tee—pure normcore.,slang
"I actually met a celeb at Target, not clickbait!",slang
Not me crying over a dog in a commercial again.,slang
That comment? Not the vibe at all.,slang
He said the same line five times—total NPC energy.,slang
He kept repeating the same line like an NPC—total npc energy.,slang
You don’t get memes? Ok boomer.,slang
"Omg, that was the cutest puppy I’ve ever seen!",slang
Omw to save your day like a hero.,slang
Her eyebrows are on fleek today.,slang
"That game was wild, on god.",slang
They’re my one true pairing—perfect for each other.,slang
"I’ve never met them IRL, but we’ve been online friends for years.",slang
They’re the otp everyone ships in the fandom.,slang
He started talking about his breakup again—classic overshare.,slang
"She acts like she knows him personally, but it’s just a parasocial relationship.",slang
You aced that exam? Periodt!,slang
She always wants guys to notice her—total pick me behavior.,slang
You sound real pressed about losing that game.,slang
I posted my opinion and got hit with a ratio instantly.,slang
She helped me through everything—she’s a real one.,slang
Here’s the real tea: they’ve been secretly dating.,slang
Receipts or it didn’t happen—I need the screenshots.,slang
He got rekt in that match—total annihilation.,slang
She clapped back with a reverse uno and ended the convo.,slang
"He’s got so much rizz, even the teacher blushed.",slang
That guy? Absolute rizz god—flirting comes naturally to him.,slang
She told a joke so funny I was rofl.,slang
You feel that too? Same.,slang
He got all salty just because I beat his high score.,slang
She clapped back with a savage comeback that left everyone silent.,slang
That roast was savage af—I felt it from here.,slang
"You’re buying snacks? Say less, I’m coming too.",slang
Say what now? You invited your ex to the party?!,slang
He used to be a total scene kid with emo hair and skinny jeans.,slang
That meme is cursed—I’ve officially scrolled too far.,slang
He didn’t even think—just sent it down the hill on a skateboard.,slang
"Sheesh, those grades are insane!",slang
I totally ship them—they’d be adorable together.,slang
"That tweet was just a chaotic shitpost, but it made me laugh.",slang
I was shook when I saw who won the competition.,slang
He’s simping hard over someone who barely notices him.,slang
Sksksk I dropped my phone in the sink!,slang
This song slaps—turn it up!,slang
That look? Slay. Nothing else needs to be said.,slang
She walked in like a boss—slay queen energy.,slang
That outfit is slaytastic and I won’t hear otherwise.,slang
He’s so talented but totally slept on by the mainstream.,slang
Would you smash or pass? Be honest.,slang
You forgot your own birthday? Smh.,slang
She’s not just cute—she’s a whole snacc.,slang
That waist? Snatched. Snatched like a pro.,slang
Don’t snitch tag me in drama—I don’t need that smoke.,slang
"They didn’t unfollow, just gave me a soft block.",slang
She loves pastel and plushies—such a soft girl vibe.,slang
He posted a hand holding pic—total soft launch of the relationship.,slang
She spammed the group chat with 20 selfies in 3 minutes.,slang
"Come on, spill the tea—what happened at the party?",slang
The whole squad rolled up wearing matching jackets.,slang
I stan artists who actually care about their fans.,slang
This is now a stan account for that flawless performance.,slang
Stan twt was in chaos after the teaser dropped.,slang
"She threw shade in a sub, but we all knew who it was about.",slang
That subpost was obviously directed at her ex.,slang
She always ubtweets her crush instead of texting him.,slang
That deal sounds way too good to be true—kinda sus.,slang
"His excuse was sus af, not gonna lie.",slang
The way she smiled and said “nothing” gave off sus vibes.,slang
He’s acting real suspect ever since the test came back.,slang
Swipe up to see the full outfit reveal!,slang
"Tbh, you’re way cooler than you think.",slang
You got ghosted *again*? That’s wild.,slang
She posted a whole thirst post and tagged him.,slang
That gym selfie? Certified thirst trap.,slang
He complimented five girls in ten minutes—man’s thirsty.,slang
This thread is full of chaotic memes—I’m here for it.,slang
Tfw your food finally arrives and it's perfect.,slang
"Girl, the tea is piping hot today.",slang
Go outside and touch grass—you’ve been online too long.,slang
Don’t joke about that—he’s super touchy lately.,slang
"He set a trap by pretending to be chill, then went off.",slang
That was way too personal—major tmi.,slang
She described her dream in detail for ten minutes—a total tmi moment.,slang
They’re always starting drama—such a toxic friend group.,slang
"Her outfit is peak trendcore, straight off Pinterest.",slang
He’s just commenting nonsense for laughs—big troll energy.,slang
That tweet got hundreds of retweets through tweetdecking.,slang
"She wears polka dots, plays the ukulele, and loves birds—super twee.",slang
"He sent a puppy emoji and said ""uwu I miss you""—adorable.",slang
Your feelings are totally valid—don’t let anyone tell you otherwise.,slang
This playlist is such a good vibe.,slang
He failed the vibe check with that rude joke.,slang
"We’re in our cozy, healing vibe era right now.",slang
Did you feel that? Major vibe shift just happened.,slang
Just vibing with some lo-fi beats and tea.,slang
She’s a total VSCO girl—Hydro Flask and scrunchies all day.,slang
She aced the exam after barely studying—big W.,slang
You bought a gold-plated fork? Weird flex but okay.,slang
That launch was overhyped and underdelivered—what a flop.,slang
"When life gives you lemons, make chaotic lemonade.",slang
"Someone praised her look and she went, “wig!”",slang
She walked in with that outfit and our wigs were snatched.,slang
They’re wildin in the comments section right now.,slang
Getting a day off right before exams? That’s a win.,slang
He missed the punchline again... womp womp.,slang
Wyd later? Wanna hang?,slang
"Yass, that’s the energy I needed today!",slang
Yass queen! You absolutely crushed that look.,slang
He just yeeted his phone across the room by accident.,slang
"Yikes, that presentation did not go well.",slang
"You only live once—yolo trip to the beach, anyone?",slang
"Not your thing? That’s cool, you do you.",slang
He forgot his own birthday? Zoinks.,slang
That zoomer humor is chaotic and kind of brilliant.,slang
He was totally zooted at the party last night.,slang
That man in the suit? Straight-up zaddy.,slang
She replied with zero chill and called everyone out.,slang
I saw that blank stare—zero thoughts.,slang
"That was real af. No filter, just truth.",slang
Her fit was a major slay on the red carpet.,slang
That calm playlist is my main vibe lately.,slang
He’s not just a crush—he’s my main squeeze.,slang
He’s on his sigma grindset and ignoring everyone.,slang
We’re in our slay era—nothing can stop us.,slang
"If the vibe’s off, I’ll just ghost and never text back. 🫠

",slang
The restaurant has no seating—it’s a ghost kitchen.,slang
We talked for weeks and then he ghosted me.,slang
"Dinner was pickles, cheese, and chips—classic girl dinner.",slang
